Survey,StationCode,Latitude,Longitude,Region
DJFMP,MS001N,38.05604444,-121.7855639,LowerSacRiver
FMWT,705,38.07925,-121.7618,LowerSacRiver
EDSM,19-27-RV03,38.08124,-121.72995,LowerSacRiver
EDSM,19-30-RV03,38.08125,-121.73127,LowerSacRiver
EDSM,19-13-RV04,38.08146,-121.73141,LowerSacRiver
EDSM,20-11-RV03,38.08164,-121.73202,LowerSacRiver
EDSM,19-10-RV01,38.08197,-121.73166,LowerSacRiver
EDSM,19-13-RV05,38.08215,-121.72227,LowerSacRiver
EDSM,RV53,38.0822,-121.72431,LowerSacRiver
EDSM,20-03-RV01,38.08229,-121.72562,LowerSacRiver
EDSM,20-02-RV03,38.08323,-121.71952,LowerSacRiver
EDSM,19-16-RV02,38.08326,-121.7118,LowerSacRiver
EDSM,20-05-RV04,38.08371,-121.73616,LowerSacRiver
EDSM,18-34-RV01,38.08419,-121.73732,LowerSacRiver
EDSM,19-17-RV02,38.08461,-121.71262,LowerSacRiver
EDSM,18-03-RV01,38.08569,-121.71131,LowerSacRiver
EDSM,19-24-RV02,38.08589,-121.70932,LowerSacRiver
EDSM,20-16-RV03,38.08741,-121.74022,LowerSacRiver
EDSM,20-15-RV02,38.08744,-121.73489,LowerSacRiver
EDSM,20-14-RV03,38.08832,-121.73443,LowerSacRiver
EDSM,19-12-RV02,38.08838,-121.68613,LowerSacRiver
EDSM,19-03-RV02,38.08841,-121.74128,LowerSacRiver
EDSM,17-49-RV02,38.08871,-121.68595,LowerSacRiver
EDSM,20-12-RV03,38.08966,-121.70905,LowerSacRiver
EDSM,19-09-RV04,38.08989,-121.68556,LowerSacRiver
Townet,706,38.09006,-121.739,LowerSacRiver
EDSM,19-04-RV03,38.09018,-121.7406,LowerSacRiver
EDSM,20-13-RV01,38.09023,-121.68494,LowerSacRiver
FMWT,706,38.0903,-121.74,LowerSacRiver
EDSM,RV3,38.09038195,-121.7366907,LowerSacRiver
EDSM,17-50-RV01,38.0906,-121.70671,LowerSacRiver
EDSM,20-07-RV02,38.09096,-121.73636,LowerSacRiver
EDSM,20-04-RV02,38.09123,-121.72907,LowerSacRiver
EDSM,20-18-RV02,38.09131,-121.68537,LowerSacRiver
EDSM,18-29-RV02,38.09143,-121.74145,LowerSacRiver
EDSM,18-35-RV02,38.09174,-121.68489,LowerSacRiver
EDSM,19-31-RV01,38.09258,-121.73958,LowerSacRiver
EDSM,19-26-RV02,38.09282,-121.72612,LowerSacRiver
EDSM,19-17-RV03,38.09299,-121.73442,LowerSacRiver
EDSM,19-28-RV02,38.093,-121.73687,LowerSacRiver
EDSM,19-11-RV05,38.09302,-121.70968,LowerSacRiver
EDSM,RV102,38.09326548,-121.7331453,LowerSacRiver
EDSM,19-05-RV02,38.09357,-121.73005,LowerSacRiver
EDSM,20-09-RV03,38.09364,-121.73221,LowerSacRiver
EDSM,18-20-RV02,38.09367,-121.68585,LowerSacRiver
EDSM,19-29-RV03,38.09388,-121.73471,LowerSacRiver
EDSM,18-10-RV01,38.09391,-121.68634,LowerSacRiver
EDSM,20-16-RV02,38.09408,-121.72513,LowerSacRiver
EDSM,18-20-RV01,38.09531,-121.7316,LowerSacRiver
EDSM,20-01-RV02,38.09531,-121.725,LowerSacRiver
EDSM,18-21-RV02,38.09548,-121.73118,LowerSacRiver
EDSM,20-03-RV02,38.09557,-121.73539,LowerSacRiver
EDSM,20-10-RV03,38.09571,-121.70746,LowerSacRiver
EDSM,18-27-RV02,38.0959,-121.73227,LowerSacRiver
EDSM,19-06-RV02,38.09595,-121.73087,LowerSacRiver
EDSM,18-12-RV01,38.09596,-121.68655,LowerSacRiver
EDSM,19-24-RV01,38.09609,-121.73099,LowerSacRiver
EDSM,20-05-RV05,38.09628,-121.72919,LowerSacRiver
EDSM,19-51-RV04,38.09629,-121.72149,LowerSacRiver
EDSM,19-18-RV02,38.09671,-121.72573,LowerSacRiver
